SleepTimeKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;optimal_bedtime;day;timestamp
user_increasing_sleeptime_20250412_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250412_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-04-12;2025-04-12T04:00:00-04:00
user_increasing_sleeptime_20250413_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250413_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-04-13;2025-04-13T04:00:00-04:00
user_increasing_sleeptime_20250414_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250414_1;{"day_tz":-14400,"start_offset":80400,"end_offset":84000};2025-04-14;2025-04-14T04:00:00-04:00
user_increasing_sleeptime_20250415_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250415_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-15;2025-04-15T04:00:00-04:00
user_increasing_sleeptime_20250416_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250416_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-04-16;2025-04-16T04:00:00-04:00
user_increasing_sleeptime_20250417_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250417_1;{"day_tz":-14400,"start_offset":81060,"end_offset":84660};2025-04-17;2025-04-17T04:00:00-04:00
user_increasing_sleeptime_20250418_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250418_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-18;2025-04-18T04:00:00-04:00
user_increasing_sleeptime_20250419_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250419_1;{"day_tz":-14400,"start_offset":81360,"end_offset":84960};2025-04-19;2025-04-19T04:00:00-04:00
user_increasing_sleeptime_20250420_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250420_1;{"day_tz":-14400,"start_offset":80940,"end_offset":84540};2025-04-20;2025-04-20T04:00:00-04:00
user_increasing_sleeptime_20250421_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250421_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-04-21;2025-04-21T04:00:00-04:00
user_increasing_sleeptime_20250422_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250422_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-22;2025-04-22T04:00:00-04:00
user_increasing_sleeptime_20250423_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250423_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-23;2025-04-23T04:00:00-04:00
user_increasing_sleeptime_20250424_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250424_1;{"day_tz":-14400,"start_offset":82140,"end_offset":85740};2025-04-24;2025-04-24T04:00:00-04:00
user_increasing_sleeptime_20250425_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250425_1;{"day_tz":-14400,"start_offset":81660,"end_offset":85260};2025-04-25;2025-04-25T04:00:00-04:00
user_increasing_sleeptime_20250426_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250426_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-04-26;2025-04-26T04:00:00-04:00
user_increasing_sleeptime_20250427_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250427_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-04-27;2025-04-27T04:00:00-04:00
user_increasing_sleeptime_20250428_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250428_1;{"day_tz":-14400,"start_offset":81960,"end_offset":85560};2025-04-28;2025-04-28T04:00:00-04:00
user_increasing_sleeptime_20250429_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250429_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-29;2025-04-29T04:00:00-04:00
user_increasing_sleeptime_20250430_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250430_1;{"day_tz":-14400,"start_offset":80700,"end_offset":84300};2025-04-30;2025-04-30T04:00:00-04:00
user_increasing_sleeptime_20250501_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250501_1;{"day_tz":-14400,"start_offset":82200,"end_offset":85800};2025-05-01;2025-05-01T04:00:00-04:00
user_increasing_sleeptime_20250502_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250502_1;{"day_tz":-14400,"start_offset":81900,"end_offset":85500};2025-05-02;2025-05-02T04:00:00-04:00
user_increasing_sleeptime_20250503_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250503_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-05-03;2025-05-03T04:00:00-04:00
user_increasing_sleeptime_20250504_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250504_1;{"day_tz":-14400,"start_offset":82260,"end_offset":85860};2025-05-04;2025-05-04T04:00:00-04:00
user_increasing_sleeptime_20250505_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250505_1;{"day_tz":-14400,"start_offset":81060,"end_offset":84660};2025-05-05;2025-05-05T04:00:00-04:00
user_increasing_sleeptime_20250506_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250506_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-05-06;2025-05-06T04:00:00-04:00
user_increasing_sleeptime_20250507_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250507_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-05-07;2025-05-07T04:00:00-04:00
user_increasing_sleeptime_20250508_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250508_1;{"day_tz":-14400,"start_offset":81000,"end_offset":84600};2025-05-08;2025-05-08T04:00:00-04:00
user_increasing_sleeptime_20250509_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250509_1;{"day_tz":-14400,"start_offset":81900,"end_offset":85500};2025-05-09;2025-05-09T04:00:00-04:00
user_increasing_sleeptime_20250510_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250510_1;{"day_tz":-14400,"start_offset":81420,"end_offset":85020};2025-05-10;2025-05-10T04:00:00-04:00
user_increasing_sleeptime_20250511_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250511_1;{"day_tz":-14400,"start_offset":81300,"end_offset":84900};2025-05-11;2025-05-11T04:00:00-04:00
user_increasing_sleeptime_20250512_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250512_1;{"day_tz":-14400,"start_offset":81060,"end_offset":84660};2025-05-12;2025-05-12T04:00:00-04:00
user_increasing_sleeptime_20250513_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250513_1;{"day_tz":-14400,"start_offset":82020,"end_offset":85620};2025-05-13;2025-05-13T04:00:00-04:00
user_increasing_sleeptime_20250514_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250514_1;{"day_tz":-14400,"start_offset":81480,"end_offset":85080};2025-05-14;2025-05-14T04:00:00-04:00
user_increasing_sleeptime_20250515_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250515_1;{"day_tz":-14400,"start_offset":81060,"end_offset":84660};2025-05-15;2025-05-15T04:00:00-04:00
user_increasing_sleeptime_20250516_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250516_1;{"day_tz":-14400,"start_offset":82440,"end_offset":86040};2025-05-16;2025-05-16T04:00:00-04:00
user_increasing_sleeptime_20250517_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250517_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-05-17;2025-05-17T04:00:00-04:00
user_increasing_sleeptime_20250518_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250518_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-05-18;2025-05-18T04:00:00-04:00
user_increasing_sleeptime_20250519_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250519_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-05-19;2025-05-19T04:00:00-04:00
user_increasing_sleeptime_20250520_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250520_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-05-20;2025-05-20T04:00:00-04:00
user_increasing_sleeptime_20250521_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250521_1;{"day_tz":-14400,"start_offset":81360,"end_offset":84960};2025-05-21;2025-05-21T04:00:00-04:00
user_increasing_sleeptime_20250522_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250522_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-05-22;2025-05-22T04:00:00-04:00
user_increasing_sleeptime_20250523_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250523_1;{"day_tz":-14400,"start_offset":82020,"end_offset":85620};2025-05-23;2025-05-23T04:00:00-04:00
user_increasing_sleeptime_20250524_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250524_1;{"day_tz":-14400,"start_offset":81000,"end_offset":84600};2025-05-24;2025-05-24T04:00:00-04:00
user_increasing_sleeptime_20250525_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250525_1;{"day_tz":-14400,"start_offset":81600,"end_offset":85200};2025-05-25;2025-05-25T04:00:00-04:00
user_increasing_sleeptime_20250526_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250526_1;{"day_tz":-14400,"start_offset":81480,"end_offset":85080};2025-05-26;2025-05-26T04:00:00-04:00
user_increasing_sleeptime_20250527_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250527_1;{"day_tz":-14400,"start_offset":81600,"end_offset":85200};2025-05-27;2025-05-27T04:00:00-04:00
user_increasing_sleeptime_20250528_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250528_1;{"day_tz":-14400,"start_offset":81300,"end_offset":84900};2025-05-28;2025-05-28T04:00:00-04:00
user_increasing_sleeptime_20250529_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250529_1;{"day_tz":-14400,"start_offset":80700,"end_offset":84300};2025-05-29;2025-05-29T04:00:00-04:00
user_increasing_sleeptime_20250530_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250530_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-05-30;2025-05-30T04:00:00-04:00
user_increasing_sleeptime_20250531_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250531_1;{"day_tz":-14400,"start_offset":81780,"end_offset":85380};2025-05-31;2025-05-31T04:00:00-04:00
user_increasing_sleeptime_20250601_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250601_1;{"day_tz":-14400,"start_offset":81840,"end_offset":85440};2025-06-01;2025-06-01T04:00:00-04:00
user_increasing_sleeptime_20250602_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250602_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-06-02;2025-06-02T04:00:00-04:00
user_increasing_sleeptime_20250603_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250603_1;{"day_tz":-14400,"start_offset":80640,"end_offset":84240};2025-06-03;2025-06-03T04:00:00-04:00
user_increasing_sleeptime_20250604_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250604_1;{"day_tz":-14400,"start_offset":81600,"end_offset":85200};2025-06-04;2025-06-04T04:00:00-04:00
user_increasing_sleeptime_20250605_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250605_1;{"day_tz":-14400,"start_offset":80400,"end_offset":84000};2025-06-05;2025-06-05T04:00:00-04:00
user_increasing_sleeptime_20250606_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250606_1;{"day_tz":-14400,"start_offset":81360,"end_offset":84960};2025-06-06;2025-06-06T04:00:00-04:00
user_increasing_sleeptime_20250607_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250607_1;{"day_tz":-14400,"start_offset":81300,"end_offset":84900};2025-06-07;2025-06-07T04:00:00-04:00
user_increasing_sleeptime_20250608_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250608_1;{"day_tz":-14400,"start_offset":81480,"end_offset":85080};2025-06-08;2025-06-08T04:00:00-04:00
user_increasing_sleeptime_20250609_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250609_1;{"day_tz":-14400,"start_offset":81180,"end_offset":84780};2025-06-09;2025-06-09T04:00:00-04:00
user_increasing_sleeptime_20250610_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250610_1;{"day_tz":-14400,"start_offset":80820,"end_offset":84420};2025-06-10;2025-06-10T04:00:00-04:00
user_increasing_sleeptime_20250611_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250611_1;{"day_tz":-14400,"start_offset":80640,"end_offset":84240};2025-06-11;2025-06-11T04:00:00-04:00
user_increasing_sleeptime_20250612_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250612_1;{"day_tz":-14400,"start_offset":81420,"end_offset":85020};2025-06-12;2025-06-12T04:00:00-04:00
user_increasing_sleeptime_20250613_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250613_1;{"day_tz":-14400,"start_offset":82260,"end_offset":85860};2025-06-13;2025-06-13T04:00:00-04:00
user_increasing_sleeptime_20250614_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250614_1;{"day_tz":-14400,"start_offset":82680,"end_offset":86280};2025-06-14;2025-06-14T04:00:00-04:00
user_increasing_sleeptime_20250615_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250615_1;{"day_tz":-14400,"start_offset":81240,"end_offset":84840};2025-06-15;2025-06-15T04:00:00-04:00
user_increasing_sleeptime_20250616_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250616_1;{"day_tz":-14400,"start_offset":80880,"end_offset":84480};2025-06-16;2025-06-16T04:00:00-04:00
user_increasing_sleeptime_20250617_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250617_1;{"day_tz":-14400,"start_offset":80400,"end_offset":84000};2025-06-17;2025-06-17T04:00:00-04:00
user_increasing_sleeptime_20250618_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250618_1;{"day_tz":-14400,"start_offset":81000,"end_offset":84600};2025-06-18;2025-06-18T04:00:00-04:00
user_increasing_sleeptime_20250619_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250619_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-06-19;2025-06-19T04:00:00-04:00
user_increasing_sleeptime_20250620_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250620_1;{"day_tz":-14400,"start_offset":80460,"end_offset":84060};2025-06-20;2025-06-20T04:00:00-04:00
user_increasing_sleeptime_20250621_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250621_1;{"day_tz":-14400,"start_offset":81720,"end_offset":85320};2025-06-21;2025-06-21T04:00:00-04:00
user_increasing_sleeptime_20250622_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250622_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-06-22;2025-06-22T04:00:00-04:00
user_increasing_sleeptime_20250623_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250623_1;{"day_tz":-14400,"start_offset":81480,"end_offset":85080};2025-06-23;2025-06-23T04:00:00-04:00
user_increasing_sleeptime_20250624_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250624_1;{"day_tz":-14400,"start_offset":82260,"end_offset":85860};2025-06-24;2025-06-24T04:00:00-04:00
user_increasing_sleeptime_20250625_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250625_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-06-25;2025-06-25T04:00:00-04:00
user_increasing_sleeptime_20250626_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250626_1;{"day_tz":-14400,"start_offset":81420,"end_offset":85020};2025-06-26;2025-06-26T04:00:00-04:00
user_increasing_sleeptime_20250627_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250627_1;{"day_tz":-14400,"start_offset":81840,"end_offset":85440};2025-06-27;2025-06-27T04:00:00-04:00
user_increasing_sleeptime_20250628_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250628_1;{"day_tz":-14400,"start_offset":81600,"end_offset":85200};2025-06-28;2025-06-28T04:00:00-04:00
user_increasing_sleeptime_20250629_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250629_1;{"day_tz":-14400,"start_offset":82200,"end_offset":85800};2025-06-29;2025-06-29T04:00:00-04:00
user_increasing_sleeptime_20250630_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250630_1;{"day_tz":-14400,"start_offset":81300,"end_offset":84900};2025-06-30;2025-06-30T04:00:00-04:00
