DailyActivityKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;active_calories;average_met_minutes;contributors;equivalent_walking_distance;high_activity_met_minutes;high_activity_time;inactivity_alerts;low_activity_met_minutes;low_activity_time;medium_activity_met_minutes;medium_activity_time;meters_to_target;non_wear_time;resting_time;sedentary_met_minutes;sedentary_time;steps;target_calories;target_meters;total_calories;day;timestamp
user_declining_dailyactivity_20250412_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250412_1;87;1532;1.72;{"meet_daily_targets":91,"move_every_hour":84,"recovery_time":75,"stay_active":89,"training_frequency":94,"training_volume":81};10315;64;468;1;163;4174;544;6279;0;852;15670;466;23720;7202;520;8500;3530;2025-04-12;2025-04-12T04:00:00-04:00
user_declining_dailyactivity_20250413_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250413_1;89;425;1.33;{"meet_daily_targets":93,"move_every_hour":97,"recovery_time":78,"stay_active":87,"training_frequency":95,"training_volume":76};6673;27;200;0;251;6420;147;1695;1827;677;10843;491;24964;8493;520;8500;2413;2025-04-13;2025-04-13T04:00:00-04:00
user_declining_dailyactivity_20250414_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250414_1;81;554;1.53;{"meet_daily_targets":89,"move_every_hour":74,"recovery_time":76,"stay_active":78,"training_frequency":94,"training_volume":79};7960;203;1487;2;178;4539;249;2874;540;34;12833;571;29042;10015;520;8500;2646;2025-04-14;2025-04-14T04:00:00-04:00
user_declining_dailyactivity_20250415_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250415_1;80;562;1.38;{"meet_daily_targets":88,"move_every_hour":73,"recovery_time":77,"stay_active":76,"training_frequency":94,"training_volume":75};7026;82;602;2;186;4753;166;1920;1474;582;16402;589;29949;8400;520;8500;2561;2025-04-15;2025-04-15T04:00:00-04:00
user_declining_dailyactivity_20250416_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250416_1;83;617;1.49;{"meet_daily_targets":94,"move_every_hour":85,"recovery_time":73,"stay_active":78,"training_frequency":95,"training_volume":79};8962;191;1394;1;237;6047;222;2562;0;359;14041;594;30218;11373;520;8500;2609;2025-04-16;2025-04-16T04:00:00-04:00
user_declining_dailyactivity_20250417_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250417_1;82;644;1.39;{"meet_daily_targets":91,"move_every_hour":69,"recovery_time":77,"stay_active":71,"training_frequency":95,"training_volume":83};6151;137;1001;2;216;5507;139;1606;2349;204;12575;667;33898;7454;520;8500;2659;2025-04-17;2025-04-17T04:00:00-04:00
user_declining_dailyactivity_20250418_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250418_1;81;564;1.52;{"meet_daily_targets":91,"move_every_hour":75,"recovery_time":77,"stay_active":76,"training_frequency":95,"training_volume":82};6736;198;1447;3;274;6986;244;2812;1764;191;17262;594;30179;8449;520;8500;2581;2025-04-18;2025-04-18T04:00:00-04:00
user_declining_dailyactivity_20250419_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250419_1;85;1327;1.74;{"meet_daily_targets":91,"move_every_hour":74,"recovery_time":76,"stay_active":95,"training_frequency":93,"training_volume":82};9331;100;735;3;218;5564;548;6322;0;450;14206;370;18832;5872;520;8500;3330;2025-04-19;2025-04-19T04:00:00-04:00
user_declining_dailyactivity_20250420_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250420_1;87;445;1.38;{"meet_daily_targets":92,"move_every_hour":94,"recovery_time":72,"stay_active":91,"training_frequency":95,"training_volume":87};6751;8;58;0;218;5562;213;2462;1749;436;15919;476;24194;8538;520;8500;2418;2025-04-20;2025-04-20T04:00:00-04:00
user_declining_dailyactivity_20250421_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250421_1;84;804;1.50;{"meet_daily_targets":88,"move_every_hour":77,"recovery_time":78,"stay_active":82,"training_frequency":94,"training_volume":79};7205;184;1348;3;209;5348;231;2663;1295;427;14333;542;27584;9112;520;8500;2791;2025-04-21;2025-04-21T04:00:00-04:00
user_declining_dailyactivity_20250422_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250422_1;78;253;1.25;{"meet_daily_targets":88,"move_every_hour":56,"recovery_time":76,"stay_active":67,"training_frequency":93,"training_volume":79};6276;13;96;4;183;4662;67;771;2224;1063;12773;675;34300;7410;520;8500;2229;2025-04-22;2025-04-22T04:00:00-04:00
user_declining_dailyactivity_20250423_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250423_1;78;577;1.41;{"meet_daily_targets":90,"move_every_hour":70,"recovery_time":78,"stay_active":66,"training_frequency":93,"training_volume":83};5917;138;1011;2;232;5928;169;1945;2583;120;14400;739;37561;7498;520;8500;2621;2025-04-23;2025-04-23T04:00:00-04:00
user_declining_dailyactivity_20250424_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250424_1;81;260;1.22;{"meet_daily_targets":88,"move_every_hour":82,"recovery_time":77,"stay_active":73,"training_frequency":94,"training_volume":81};6095;8;61;2;222;5679;35;407;2405;160;16561;644;32764;7519;520;8500;2346;2025-04-24;2025-04-24T04:00:00-04:00
user_declining_dailyactivity_20250425_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250425_1;81;602;1.42;{"meet_daily_targets":92,"move_every_hour":59,"recovery_time":76,"stay_active":77,"training_frequency":93,"training_volume":83};7049;94;689;4;193;4931;201;2321;1451;144;14630;616;31306;8971;520;8500;2624;2025-04-25;2025-04-25T04:00:00-04:00
user_declining_dailyactivity_20250426_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250426_1;88;1527;1.81;{"meet_daily_targets":90,"move_every_hour":95,"recovery_time":78,"stay_active":95,"training_frequency":91,"training_volume":76};9967;120;881;1;177;4509;612;7063;0;509;12102;359;18235;7025;520;8500;3607;2025-04-26;2025-04-26T04:00:00-04:00
user_declining_dailyactivity_20250427_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250427_1;87;365;1.33;{"meet_daily_targets":87,"move_every_hour":92,"recovery_time":80,"stay_active":94,"training_frequency":91,"training_volume":80};6117;42;310;1;240;6135;142;1633;2383;210;16593;389;19767;7832;520;8500;2334;2025-04-27;2025-04-27T04:00:00-04:00
user_declining_dailyactivity_20250428_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250428_1;82;569;1.40;{"meet_daily_targets":89,"move_every_hour":71,"recovery_time":79,"stay_active":69,"training_frequency":90,"training_volume":80};7251;126;922;3;215;5490;161;1855;1249;0;12805;674;34261;9299;520;8500;2590;2025-04-28;2025-04-28T04:00:00-04:00
user_declining_dailyactivity_20250429_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250429_1;78;360;1.31;{"meet_daily_targets":81,"move_every_hour":82,"recovery_time":75,"stay_active":75,"training_frequency":80,"training_volume":82};5043;63;463;2;199;5074;104;1204;3457;261;16288;616;31318;6128;520;8500;2405;2025-04-29;2025-04-29T04:00:00-04:00
user_declining_dailyactivity_20250430_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250430_1;77;326;1.27;{"meet_daily_targets":81,"move_every_hour":70,"recovery_time":79,"stay_active":71,"training_frequency":81,"training_volume":83};8039;23;169;3;242;6185;84;973;461;512;15272;600;30517;10158;520;8500;2295;2025-04-30;2025-04-30T04:00:00-04:00
user_declining_dailyactivity_20250501_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250501_1;81;272;1.24;{"meet_daily_targets":84,"move_every_hour":94,"recovery_time":73,"stay_active":75,"training_frequency":88,"training_volume":79};5425;16;116;1;180;4603;58;665;3075;143;13917;607;30864;6297;520;8500;2241;2025-05-01;2025-05-01T04:00:00-04:00
user_declining_dailyactivity_20250502_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250502_1;75;700;1.42;{"meet_daily_targets":79,"move_every_hour":68,"recovery_time":74,"stay_active":71,"training_frequency":89,"training_volume":77};5365;156;1141;3;187;4779;162;1870;3135;460;13273;687;34922;6789;520;8500;2792;2025-05-02;2025-05-02T04:00:00-04:00
user_declining_dailyactivity_20250503_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250503_1;82;1400;1.77;{"meet_daily_targets":79,"move_every_hour":82,"recovery_time":75,"stay_active":91,"training_frequency":87,"training_volume":75};10568;83;605;2;199;5087;595;6871;0;968;13346;405;20595;6427;520;8500;3384;2025-05-03;2025-05-03T04:00:00-04:00
user_declining_dailyactivity_20250504_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250504_1;83;350;1.32;{"meet_daily_targets":80,"move_every_hour":95,"recovery_time":77,"stay_active":90,"training_frequency":89,"training_volume":75};6366;23;169;1;252;6429;135;1558;2134;374;11366;442;22497;8129;520;8500;2375;2025-05-04;2025-05-04T04:00:00-04:00
user_declining_dailyactivity_20250505_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250505_1;80;682;1.51;{"meet_daily_targets":76,"move_every_hour":88,"recovery_time":78,"stay_active":71,"training_frequency":87,"training_volume":76};7300;214;1569;1;225;5747;230;2650;1200;408;13764;641;32613;9192;520;8500;2767;2025-05-05;2025-05-05T04:00:00-04:00
user_declining_dailyactivity_20250506_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250506_1;82;267;1.23;{"meet_daily_targets":88,"move_every_hour":84,"recovery_time":76,"stay_active":80,"training_frequency":89,"training_volume":71};4701;11;81;2;228;5820;53;608;3799;570;18000;560;28478;5522;520;8500;2322;2025-05-06;2025-05-06T04:00:00-04:00
user_declining_dailyactivity_20250507_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250507_1;79;736;1.49;{"meet_daily_targets":87,"move_every_hour":72,"recovery_time":80,"stay_active":74,"training_frequency":91,"training_volume":67};7407;172;1257;3;166;4245;235;2709;1093;458;13675;642;32642;9315;520;8500;2824;2025-05-07;2025-05-07T04:00:00-04:00
user_declining_dailyactivity_20250508_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250508_1;84;618;1.37;{"meet_daily_targets":85,"move_every_hour":91,"recovery_time":77,"stay_active":73,"training_frequency":92,"training_volume":78};5823;106;772;1;226;5775;140;1613;2677;0;14427;656;33341;6909;520;8500;2683;2025-05-08;2025-05-08T04:00:00-04:00
user_declining_dailyactivity_20250509_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250509_1;79;589;1.43;{"meet_daily_targets":86,"move_every_hour":89,"recovery_time":73,"stay_active":72,"training_frequency":93,"training_volume":72};8534;164;1198;1;260;6630;164;1894;0;835;13712;654;33260;10906;520;8500;2641;2025-05-09;2025-05-09T04:00:00-04:00
user_declining_dailyactivity_20250510_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250510_1;87;729;1.51;{"meet_daily_targets":86,"move_every_hour":93,"recovery_time":81,"stay_active":92,"training_frequency":91,"training_volume":82};9688;66;484;1;136;3484;314;3625;0;407;14851;461;23420;9129;520;8500;2710;2025-05-10;2025-05-10T04:00:00-04:00
user_declining_dailyactivity_20250511_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250511_1;87;305;1.34;{"meet_daily_targets":89,"move_every_hour":90,"recovery_time":81,"stay_active":89,"training_frequency":91,"training_volume":80};6340;6;43;1;257;6566;167;1925;2160;1027;14013;468;23781;8037;520;8500;2327;2025-05-11;2025-05-11T04:00:00-04:00
user_declining_dailyactivity_20250512_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250512_1;80;377;1.27;{"meet_daily_targets":88,"move_every_hour":71,"recovery_time":76,"stay_active":74,"training_frequency":90,"training_volume":82};6770;25;186;3;225;5743;88;1011;1730;541;15800;641;32583;8477;520;8500;2457;2025-05-12;2025-05-12T04:00:00-04:00
user_declining_dailyactivity_20250513_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250513_1;80;308;1.24;{"meet_daily_targets":84,"move_every_hour":72,"recovery_time":76,"stay_active":77,"training_frequency":86,"training_volume":83};5156;14;106;3;216;5507;57;654;3344;442;12392;610;31005;6081;520;8500;2276;2025-05-13;2025-05-13T04:00:00-04:00
user_declining_dailyactivity_20250514_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250514_1;78;498;1.42;{"meet_daily_targets":83,"move_every_hour":70,"recovery_time":79,"stay_active":75,"training_frequency":82,"training_volume":81};7487;150;1097;3;163;4172;167;1929;1013;405;15793;664;33782;9515;520;8500;2490;2025-05-14;2025-05-14T04:00:00-04:00
user_declining_dailyactivity_20250515_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250515_1;80;524;1.36;{"meet_daily_targets":86,"move_every_hour":71,"recovery_time":81,"stay_active":71,"training_frequency":86,"training_volume":82};5907;149;1091;3;178;4535;102;1177;2593;27;16065;693;35232;7266;520;8500;2530;2025-05-15;2025-05-15T04:00:00-04:00
user_declining_dailyactivity_20250516_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250516_1;77;574;1.53;{"meet_daily_targets":84,"move_every_hour":70,"recovery_time":79,"stay_active":67,"training_frequency":85,"training_volume":79};6815;234;1709;3;252;6445;236;2720;1685;577;14925;689;35058;8547;520;8500;2614;2025-05-16;2025-05-16T04:00:00-04:00
user_declining_dailyactivity_20250517_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250517_1;83;1372;1.69;{"meet_daily_targets":90,"move_every_hour":83,"recovery_time":77,"stay_active":93,"training_frequency":89,"training_volume":73};8762;86;630;2;205;5230;506;5839;0;477;14690;416;21135;5492;520;8500;3394;2025-05-17;2025-05-17T04:00:00-04:00
user_declining_dailyactivity_20250518_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250518_1;83;359;1.35;{"meet_daily_targets":86,"move_every_hour":93,"recovery_time":76,"stay_active":93,"training_frequency":87,"training_volume":71};5879;42;307;1;187;4783;160;1841;2621;548;14972;435;22103;7454;520;8500;2330;2025-05-18;2025-05-18T04:00:00-04:00
user_declining_dailyactivity_20250519_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250519_1;74;506;1.45;{"meet_daily_targets":83,"move_every_hour":66,"recovery_time":78,"stay_active":67,"training_frequency":85,"training_volume":72};5351;164;1200;3;251;6421;192;2216;3149;904;14527;708;36025;6709;520;8500;2525;2025-05-19;2025-05-19T04:00:00-04:00
user_declining_dailyactivity_20250520_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250520_1;77;276;1.24;{"meet_daily_targets":86,"move_every_hour":71,"recovery_time":79,"stay_active":73,"training_frequency":87,"training_volume":72};5411;15;111;3;225;5743;57;652;3089;683;15011;613;31180;6408;520;8500;2298;2025-05-20;2025-05-20T04:00:00-04:00
user_declining_dailyactivity_20250521_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250521_1;77;521;1.41;{"meet_daily_targets":82,"move_every_hour":79,"recovery_time":75,"stay_active":71,"training_frequency":85,"training_volume":75};6177;170;1241;2;256;6538;142;1638;2323;156;14099;689;35023;7897;520;8500;2504;2025-05-21;2025-05-21T04:00:00-04:00
user_declining_dailyactivity_20250522_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250522_1;77;278;1.21;{"meet_daily_targets":79,"move_every_hour":76,"recovery_time":79,"stay_active":71,"training_frequency":80,"training_volume":72};7053;12;88;2;204;5212;29;336;1447;26;14610;716;36392;8876;520;8500;2315;2025-05-22;2025-05-22T04:00:00-04:00
user_declining_dailyactivity_20250523_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250523_1;75;519;1.41;{"meet_daily_targets":79,"move_every_hour":68,"recovery_time":76,"stay_active":72,"training_frequency":79,"training_volume":73};7326;128;939;3;193;4924;173;1992;1174;544;15544;659;33486;9341;520;8500;2574;2025-05-23;2025-05-23T04:00:00-04:00
user_declining_dailyactivity_20250524_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250524_1;78;1495;1.75;{"meet_daily_targets":81,"move_every_hour":71,"recovery_time":74,"stay_active":92,"training_frequency":84,"training_volume":72};8597;131;957;3;188;4812;539;6214;0;533;14263;432;21980;5697;520;8500;3542;2025-05-24;2025-05-24T04:00:00-04:00
user_declining_dailyactivity_20250525_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250525_1;81;329;1.33;{"meet_daily_targets":81,"move_every_hour":90,"recovery_time":77,"stay_active":86,"training_frequency":84,"training_volume":71};5351;21;151;1;169;4308;151;1743;3149;597;14711;462;23492;6782;520;8500;2423;2025-05-25;2025-05-25T04:00:00-04:00
user_declining_dailyactivity_20250526_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250526_1;77;424;1.41;{"meet_daily_targets":78,"move_every_hour":78,"recovery_time":77,"stay_active":66,"training_frequency":81,"training_volume":74};6203;145;1059;2;250;6381;162;1869;2297;445;13112;705;35849;7895;520;8500;2435;2025-05-26;2025-05-26T04:00:00-04:00
user_declining_dailyactivity_20250527_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250527_1;73;423;1.29;{"meet_daily_targets":81,"move_every_hour":57,"recovery_time":74,"stay_active":72,"training_frequency":74,"training_volume":72};5159;49;361;4;226;5758;94;1082;3341;417;14335;660;33566;6353;520;8500;2398;2025-05-27;2025-05-27T04:00:00-04:00
user_declining_dailyactivity_20250528_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250528_1;76;295;1.25;{"meet_daily_targets":81,"move_every_hour":78,"recovery_time":81,"stay_active":71,"training_frequency":75,"training_volume":71};7345;23;171;2;196;4992;63;730;1155;444;14752;670;34049;9373;520;8500;2352;2025-05-28;2025-05-28T04:00:00-04:00
user_declining_dailyactivity_20250529_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250529_1;76;439;1.33;{"meet_daily_targets":81,"move_every_hour":82,"recovery_time":79,"stay_active":70,"training_frequency":85,"training_volume":71};5823;77;566;2;234;5979;116;1343;2677;269;15360;677;34400;7018;520;8500;2471;2025-05-29;2025-05-29T04:00:00-04:00
user_declining_dailyactivity_20250530_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250530_1;75;669;1.50;{"meet_daily_targets":79,"move_every_hour":68,"recovery_time":78,"stay_active":69,"training_frequency":79,"training_volume":70};6607;210;1535;3;159;4049;213;2454;1893;593;14233;703;35745;8342;520;8500;2682;2025-05-30;2025-05-30T04:00:00-04:00
user_declining_dailyactivity_20250531_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250531_1;82;387;1.37;{"meet_daily_targets":76,"move_every_hour":90,"recovery_time":79,"stay_active":90,"training_frequency":81,"training_volume":73};8785;12;87;2;171;4372;202;2336;0;253;14485;383;19463;5770;520;8500;2379;2025-05-31;2025-05-31T04:00:00-04:00
user_declining_dailyactivity_20250601_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250601_1;75;420;1.32;{"meet_daily_targets":81,"move_every_hour":66,"recovery_time":73,"stay_active":90,"training_frequency":79,"training_volume":70};6271;13;95;4;221;5652;149;1723;2229;564;10800;393;19958;7985;520;8500;2505;2025-06-01;2025-06-01T04:00:00-04:00
user_declining_dailyactivity_20250602_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250602_1;78;572;1.47;{"meet_daily_targets":83,"move_every_hour":81,"recovery_time":78,"stay_active":72,"training_frequency":83,"training_volume":67};6243;162;1182;3;244;6234;220;2533;2257;197;14986;644;32765;7812;520;8500;2579;2025-06-02;2025-06-02T04:00:00-04:00
user_declining_dailyactivity_20250603_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250603_1;76;526;1.38;{"meet_daily_targets":83,"move_every_hour":78,"recovery_time":76,"stay_active":67,"training_frequency":82,"training_volume":67};5505;95;696;3;127;3254;161;1860;2995;579;14080;720;36609;6525;520;8500;2511;2025-06-03;2025-06-03T04:00:00-04:00
user_declining_dailyactivity_20250604_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250604_1;73;369;1.27;{"meet_daily_targets":81,"move_every_hour":64,"recovery_time":77,"stay_active":68,"training_frequency":80,"training_volume":63};6196;21;152;4;194;4953;83;962;2304;411;15664;700;35589;7802;520;8500;2389;2025-06-04;2025-06-04T04:00:00-04:00
user_declining_dailyactivity_20250605_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250605_1;77;515;1.37;{"meet_daily_targets":82,"move_every_hour":74,"recovery_time":82,"stay_active":68,"training_frequency":81,"training_volume":68};6690;81;596;3;191;4866;156;1803;1810;740;15472;702;35671;8041;520;8500;2605;2025-06-05;2025-06-05T04:00:00-04:00
user_declining_dailyactivity_20250606_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250606_1;76;380;1.26;{"meet_daily_targets":81,"move_every_hour":77,"recovery_time":79,"stay_active":68,"training_frequency":80,"training_volume":63};6584;17;128;3;214;5452;74;856;1916;482;14233;683;34730;8343;520;8500;2361;2025-06-06;2025-06-06T04:00:00-04:00
user_declining_dailyactivity_20250607_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250607_1;78;1443;1.78;{"meet_daily_targets":80,"move_every_hour":75,"recovery_time":77,"stay_active":89,"training_frequency":79,"training_volume":59};9254;115;843;3;174;4447;587;6769;0;126;14447;388;19741;5528;520;8500;3434;2025-06-07;2025-06-07T04:00:00-04:00
user_declining_dailyactivity_20250608_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250608_1;78;356;1.27;{"meet_daily_targets":79,"move_every_hour":90,"recovery_time":73,"stay_active":89,"training_frequency":82,"training_volume":61};6369;41;300;2;259;6615;74;859;2131;351;15869;432;21952;8242;520;8500;2343;2025-06-08;2025-06-08T04:00:00-04:00
user_declining_dailyactivity_20250609_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250609_1;73;558;1.45;{"meet_daily_targets":78,"move_every_hour":78,"recovery_time":80,"stay_active":67,"training_frequency":81,"training_volume":59};6472;166;1212;3;161;4117;188;2169;2028;660;15084;681;34610;8165;520;8500;2558;2025-06-09;2025-06-09T04:00:00-04:00
user_declining_dailyactivity_20250610_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250610_1;74;531;1.37;{"meet_daily_targets":77,"move_every_hour":80,"recovery_time":75,"stay_active":73,"training_frequency":82,"training_volume":63};6118;111;815;2;246;6293;134;1550;2382;507;16145;664;33742;7470;520;8500;2545;2025-06-10;2025-06-10T04:00:00-04:00
